Female Total,Female Percentage,Male Total,Male Percentage,Zipcode,Grand Total
317,50.08,316,49.92,25845,633
164,57.34,122,42.66,25846,286
220,68.54,101,31.46,25848,321
102,35.92,182,64.08,25849,284
444,53.49,386,46.51,25854,830
102,60.36,67,39.64,25855,169
113,36.81,194,63.19,25864,307
753,50.0,753,50.0,25865,1506
169,51.52,159,48.48,25868,328
32,65.31,17,34.69,25870,49
291,45.05,355,54.95,25871,646
245,41.18,350,58.82,25873,595
283,45.94,333,54.06,25875,616
340,46.77,387,53.23,25878,727
235,39.36,362,60.64,25879,597
3344,52.18,3064,47.82,25880,6408
1138,51.15,1087,48.85,25882,2225
5788,51.11,5537,48.89,25901,11325
68,86.08,11,13.92,25902,79
183,44.2,231,55.8,25904,414
10,12.35,71,87.65,25907,81
171,52.29,156,47.71,25915,327
1227,54.2,1037,45.8,25917,2264
2315,50.59,2261,49.41,25918,4576
981,49.1,1017,50.9,25921,1998
123,46.95,139,53.05,25922,262
189,52.5,171,47.5,25928,360
4,8.89,41,91.11,25936,45
693,52.18,635,47.82,25938,1328
62,26.38,173,73.62,25942,235
2966,53.05,2625,46.95,25951,5591
355,42.26,485,57.74,25958,840
1814,52.93,1613,47.07,25962,3427
523,46.04,613,53.96,25969,1136
516,47.87,562,52.13,25971,1078
1414,53.26,1241,46.74,25976,2655
311,42.9,414,57.1,25978,725
436,57.07,328,42.93,25979,764
221,45.19,268,54.81,25981,489
821,47.29,915,52.71,25984,1736
190,70.63,79,29.37,25985,269
221,51.76,206,48.24,25989,427
21514,51.47,20288,48.53,26003,41802
366,54.3,308,45.7,26030,674
819,47.81,894,52.19,26031,1713
509,47.88,554,52.12,26032,1063
1425,49.93,1429,50.07,26033,2854
2532,55.86,2001,44.14,26034,4533
1345,56.3,1044,43.7,26035,2389
213,52.33,194,47.67,26036,407
3049,47.41,3382,52.59,26037,6431
1505,52.18,1379,47.82,26038,2884
450,53.19,396,46.81,26039,846
930,50.38,916,49.62,26040,1846
8412,52.35,7656,47.65,26041,16068
3078,48.47,3272,51.53,26047,6350
781,47.53,862,52.47,26050,1643
664,45.42,798,54.58,26055,1462
89,48.11,96,51.89,26056,185
1432,51.33,1358,48.67,26059,2790
809,43.33,1058,56.67,26060,1867
10954,52.41,9945,47.59,26062,20899
4179,50.97,4020,49.03,26070,8199
691,56.64,529,43.36,26074,1220
203,55.01,166,44.99,26075,369
16138,53.76,13878,46.24,26101,30016
8348,50.38,8222,49.62,26104,16570
6185,52.32,5637,47.68,26105,11822
776,52.72,696,47.28,26133,1472
577,51.98,533,48.02,26134,1110
350,43.32,458,56.68,26136,808
325,52.25,297,47.75,26137,622
92,36.65,159,63.35,26138,251
211,65.53,111,34.47,26141,322
997,42.34,1358,57.66,26142,2355
2291,50.52,2244,49.48,26143,4535
561,51.75,523,48.25,26146,1084
1031,54.93,846,45.07,26147,1877
145,46.33,168,53.67,26148,313
1080,47.89,1175,52.11,26149,2255
3236,52.89,2882,47.11,26150,6118
303,41.68,424,58.32,26151,727
62,46.97,70,53.03,26152,132
4151,51.67,3882,48.33,26155,8033
1515,50.52,1484,49.48,26159,2999
400,48.48,425,51.52,26160,825
158,41.04,227,58.96,26161,385
4262,51.89,3951,48.11,26164,8213
545,46.82,619,53.18,26167,1164
256,45.88,302,54.12,26169,558
2621,44.24,3303,55.76,26170,5924
1811,50.35,1786,49.65,26175,3597
1067,48.3,1142,51.7,26180,2209
3083,50.61,3009,49.39,26181,6092
1124,50.45,1104,49.55,26184,2228
3317,50.22,3288,49.78,26187,6605
10027,50.33,9897,49.67,26201,19924
300,47.92,326,52.08,26202,626
1578,48.12,1701,51.88,26205,3279
1652,50.77,1602,49.23,26206,3254
440,50.52,431,49.48,26208,871
84,47.46,93,52.54,26209,177
1552,49.02,1614,50.98,26218,3166
257,51.2,245,48.8,26222,502
163,55.44,131,44.56,26224,294
521,50.14,518,49.86,26234,1039
375,54.51,313,45.49,26237,688
433,46.81,492,53.19,26238,925
7332,51.96,6780,48.04,26241,14112
2704,51.16,2581,48.84,26250,5285
1843,47.49,2038,52.51,26253,3881
547,49.91,549,50.09,26257,1096
679,48.16,731,51.84,26260,1410
1274,52.26,1164,47.74,26261,2438
111,38.01,181,61.99,26263,292
291,49.07,302,50.93,26264,593
187,46.29,217,53.71,26267,404
32,78.05,9,21.95,26268,41
562,51.85,522,48.15,26269,1084
313,47.71,343,52.29,26270,656
173,47.92,188,52.08,26271,361
449,24.81,1361,75.19,26273,1810
382,55.93,301,44.07,26275,683
309,62.68,184,37.32,26278,493
969,50.95,933,49.05,26280,1902
719,46.0,844,54.0,26283,1563
164,42.16,225,57.84,26285,389
1573,52.03,1450,47.97,26287,3023
1755,51.32,1665,48.68,26288,3420
70,47.62,77,52.38,26291,147
358,51.44,338,48.56,26292,696
370,51.82,344,48.18,26293,714
506,51.53,476,48.47,26294,982
15232,51.13,14560,48.87,26301,29792
316,52.58,285,47.42,26320,601
166,44.15,210,55.85,26321,376
190,42.99,252,57.01,26323,442
139,59.15,96,40.85,26325,235
50,65.79,26,34.21,26327,76
7709,52.04,7106,47.96,26330,14815
745,49.63,756,50.37,26335,1501
672,52.79,601,47.21,26337,1273
320,42.11,440,57.89,26338,760
87,40.47,128,59.53,26339,215
67,46.85,76,53.15,26342,143
463,51.16,442,48.84,26346,905
1361,54.79,1123,45.21,26347,2484
1856,37.77,3058,62.23,26351,4914
5064,48.29,5422,51.71,26354,10486
148,57.14,111,42.86,26361,259
1666,47.86,1815,52.14,26362,3481
304,49.51,310,50.49,26369,614
317,45.81,375,54.19,26372,692
661,57.83,482,42.17,26374,1143
229,41.49,323,58.51,26376,552
255,52.9,227,47.1,26377,482
2372,49.79,2392,50.21,26378,4764
327,39.73,496,60.27,26384,823
2085,50.8,2019,49.2,26385,4104
1076,47.82,1174,52.18,26386,2250
342,55.25,277,44.75,26404,619
536,48.64,566,51.36,26405,1102
1393,50.86,1346,49.14,26408,2739
534,46.8,607,53.2,26410,1141
453,51.42,428,48.58,26411,881
356,52.74,319,47.26,26412,675
1809,46.87,2051,53.13,26415,3860
4153,50.58,4057,49.42,26416,8210
592,49.66,600,50.34,26419,1192
51,45.54,61,54.46,26421,112
288,61.41,181,38.59,26422,469
142,61.47,89,38.53,26424,231
678,56.13,530,43.87,26425,1208
3632,47.58,4002,52.42,26426,7634
194,39.43,298,60.57,26430,492
2981,52.81,2664,47.19,26431,5645
129,62.02,79,37.98,26436,208
255,50.9,246,49.1,26437,501
558,44.18,705,55.82,26440,1263
175,54.01,149,45.99,26443,324
1740,48.54,1845,51.46,26444,3585
766,50.83,741,49.17,26447,1507
638,45.18,774,54.82,26448,1412
403,51.21,384,48.79,26451,787
4479,50.92,4317,49.08,26452,8796
1723,50.26,1705,49.74,26456,3428
10015,46.46,11540,53.54,26501,21555
18200,47.29,20283,52.71,26505,38483
16726,50.17,16610,49.83,26508,33336
1227,55.45,986,44.55,26519,2213
539,49.04,560,50.96,26520,1099
119,46.12,139,53.88,26521,258
2968,38.96,4651,61.04,26525,7619
1344,54.11,1140,45.89,26534,2484
2691,53.12,2375,46.88,26537,5066
1326,49.18,1370,50.82,26541,2696
1238,48.49,1315,51.51,26542,2553
154,47.38,171,52.62,26543,325
1329,50.36,1310,49.64,26547,2639
21236,50.45,20854,49.55,26554,42090
646,51.97,597,48.03,26559,1243
138,57.74,101,42.26,26560,239
254,49.9,255,50.1,26562,509
213,48.85,223,51.15,26563,436
298,48.61,315,51.39,26568,613
2168,51.88,2011,48.12,26570,4179
1214,48.54,1287,51.46,26571,2501
106,33.44,211,66.56,26572,317
345,55.65,275,44.35,26574,620
415,53.48,361,46.52,26575,776
269,61.0,172,39.0,26576,441
505,54.36,424,45.64,26581,929
2386,52.62,2148,47.38,26582,4534
142,40.0,213,60.0,26585,355
132,66.67,66,33.33,26586,198
1336,49.17,1381,50.83,26588,2717
247,43.33,323,56.67,26590,570
606,56.69,463,43.31,26591,1069
2187,45.11,2661,54.89,26601,4848
682,54.65,566,45.35,26610,1248
125,59.81,84,40.19,26611,209
164,50.15,163,49.85,26619,327
313,40.81,454,59.19,26621,767
759,50.77,736,49.23,26623,1495
1283,51.88,1190,48.12,26624,2473
176,60.48,115,39.52,26627,291
282,61.44,177,38.56,26631,459
270,54.0,230,46.0,26636,500
5004,52.03,4614,47.97,26651,9618
152,55.27,123,44.73,26656,275
113,46.12,132,53.88,26660,245
556,49.38,570,50.62,26662,1126
726,50.56,710,49.44,26678,1436
829,49.43,848,50.57,26679,1677
96,56.14,75,43.86,26680,171
660,46.22,768,53.78,26681,1428
302,59.8,203,40.2,26690,505
258,52.55,233,47.45,26691,491
2596,45.27,3138,54.73,26704,5734
298,44.68,369,55.32,26705,667
109,42.75,146,57.25,26707,255
977,46.77,1112,53.23,26710,2089
1155,50.79,1119,49.21,26711,2274
424,47.75,464,52.25,26716,888
546,52.65,491,47.35,26717,1037
1507,49.35,1547,50.65,26719,3054
378,44.58,470,55.42,26722,848
6777,50.83,6556,49.17,26726,13333
120,47.62,132,52.38,26731,252
401,46.9,454,53.1,26739,855
673,47.0,759,53.0,26743,1432
